datetime,open,close,high,low,volume,turnover
2001-02-05,9.93,10.00,10.34,9.86,4685,1.39
2001-02-06,9.94,10.23,10.25,9.90,4411,1.31
2001-02-07,10.18,10.02,10.18,9.98,1637,0.49
2001-02-08,9.93,9.38,10.21,9.35,3656,1.09
2001-02-09,9.35,9.52,9.61,9.35,2620,0.78
2001-02-12,9.53,9.27,9.53,9.10,2717,0.81
2001-02-13,9.28,9.21,9.38,9.18,2323,0.69
2001-02-14,9.26,9.10,9.26,9.06,1868,0.55
2001-02-15,9.12,9.02,9.20,8.93,2125,0.63
2001-02-16,8.93,8.99,9.01,8.75,2971,0.88
2001-02-19,8.93,9.63,9.83,8.85,6697,1.99
2001-02-20,9.64,9.25,9.68,9.15,5239,1.56
2001-02-21,9.08,8.38,9.08,8.21,10002,2.97
2001-02-22,8.18,8.52,9.02,8.08,6435,1.91
2001-02-23,8.77,8.75,8.77,8.44,3755,1.12
2001-02-26,8.81,8.58,8.81,8.35,2100,0.62
2001-02-27,8.58,9.08,9.08,8.56,4783,1.42
2001-02-28,9.10,8.93,9.25,8.85,3124,0.93
2001-03-01,8.96,8.88,9.13,8.77,2762,0.82
2001-03-02,8.85,8.93,9.06,8.85,2504,0.74
2001-03-05,8.93,8.80,9.06,8.77,2877,0.85
2001-03-06,8.85,8.63,8.85,8.61,2951,0.88
2001-03-07,8.60,8.58,8.70,8.56,2639,0.78
2001-03-08,8.52,8.73,8.85,8.52,2247,0.67
2001-03-09,8.72,8.81,8.93,8.68,2037,0.60
2001-03-12,8.93,8.89,9.25,8.76,1721,0.51
2001-03-13,8.77,8.87,9.06,8.77,1862,0.55
2001-03-14,8.81,8.99,9.02,8.81,2499,0.74
2001-03-15,9.06,9.14,9.14,8.96,2971,0.88
2001-03-16,9.14,9.22,9.22,9.02,3578,1.06
2001-03-19,9.24,9.50,9.52,9.16,7107,2.11
2001-03-20,9.56,9.48,9.64,9.36,3672,1.09
2001-03-21,9.52,9.52,9.56,9.39,3805,1.13
2001-03-22,9.52,9.87,10.07,9.35,10776,3.20
2001-03-23,9.95,9.43,9.97,9.35,6629,1.97
2001-03-26,9.43,9.84,9.92,9.39,4753,1.41
2001-03-27,9.93,9.91,10.00,9.78,3530,1.05
2001-03-28,9.93,9.72,9.93,9.66,3458,1.03
2001-03-29,9.70,9.65,9.83,9.60,3315,0.98
